endDate,value
2014-12-01,1.1821499850000003
2014-12-02,4.139710040000003
2014-12-03,3.096389999999999
2014-12-04,10.237749122999988
2014-12-05,3.174236755999995
2014-12-06,3.3958963109999996
2014-12-07,0.17207034799999998
2014-12-08,4.681508239000006
2014-12-09,2.829460277
2014-12-10,11.71393565699999
2014-12-11,2.138831665
2014-12-12,3.0388727290000004
2014-12-13,1.9940651699999998
2014-12-14,0.3147645970000001
2014-12-15,4.025349148
2014-12-16,1.258492585
2014-12-17,11.131449765000001
2014-12-18,3.9490279409999984
2014-12-19,4.266389105
2014-12-20,5.155515116999999
2014-12-21,11.262113655999986
2014-12-22,3.5951327300000013
2014-12-23,4.582752598000004
2014-12-24,2.496376424999999
2014-12-25,2.4000841759999987
2014-12-26,2.3089683709999993
2014-12-27,0.36477212800000003
2014-12-28,3.452729168
2014-12-29,1.9717601400000007
2014-12-30,3.9771635759999997
2014-12-31,4.023099574000001
2015-01-01,0.3830745159999999
2015-01-02,3.266818019
2015-01-03,8.440999851
2015-01-04,0.8854846509999997
2015-01-05,2.6500847699999985
2015-01-06,10.676215161999988
2015-01-07,3.4459168500000006
2015-01-08,2.2622940830000005
2015-01-09,10.997585471000013
2015-01-10,0.6760713269999999
2015-01-11,0.31312336
2015-01-12,2.7588062869999996
2015-01-13,3.1878313480000005
2015-01-14,2.280880325000001
2015-01-15,11.381165701999993
2015-01-16,2.5741141489999992
2015-01-17,0.039876072000000005
2015-01-18,3.0183987550000007
2015-01-19,11.433872878999985
2015-01-20,2.111517175999998
2015-01-21,2.196092945999999
2015-01-22,2.422957929
2015-01-23,3.8602907469999996
2015-01-24,4.123133974999996
2015-01-25,0.00647594
2015-01-26,2.574729880999998
2015-01-27,2.802903481999997
2015-01-28,3.8616610029999987
2015-01-29,11.828992062000005
2015-01-30,4.467602330000002
2015-01-31,2.777056239
2015-02-01,1.679667223
2015-02-02,3.60470805
2015-02-03,9.921578350000056
2015-02-04,3.0387549430000016
2015-02-05,2.8845738580000013
2015-02-06,3.6707332580000003
2015-02-07,2.629330915999999
2015-02-08,1.217588679999999
2015-02-09,3.064900998
2015-02-10,0.02952432
2015-02-11,3.1673572760000015
2015-02-12,2.4797158590000006
2015-02-13,3.6687336969999986
2015-02-14,11.345748479999985
2015-02-15,0.427392076
2015-02-16,3.3533305510000027
2015-02-17,3.9888615780000016
2015-02-18,3.458422805999996
2015-02-19,3.3352114759999987
2015-02-20,12.126511303999989
2015-02-21,1.5751284099999994
2015-02-22,0.974046875
2015-02-23,2.617062975000003
2015-02-24,1.8695498069999992
2015-02-25,3.976173498999998
2015-02-26,2.8001897239999995
2015-02-27,3.7298042529999997
2015-02-28,2.3404818719999994
2015-03-01,1.21381237
2015-03-02,3.0699563710000026
2015-03-03,11.128664442999995
2015-03-04,3.269533675999998
2015-03-05,4.965823100000001
2015-03-06,3.741364971
2015-03-07,1.8473889980000011
2015-03-08,8.051683711999997
2015-03-09,3.6224618610000014
2015-03-10,2.127355346000001
2015-03-11,3.1023030539999996
2015-03-12,11.2087408
2015-03-13,4.566637500000001
2015-03-14,0.261956
2015-03-15,0.1126234
2015-03-16,3.0674476000000004
2015-03-17,3.908837800000001
2015-03-18,3.114572059999999
2015-03-19,3.3067616
2015-03-20,11.607616669999997
2015-03-21,4.093284800000001
2015-03-22,2.7800961000000006
2015-03-23,3.2471018000000003
2015-03-24,3.5523651999999997
2015-03-25,3.792151500000001
2015-03-26,0.7799809000000001
2015-03-27,1.9932400999999995
2015-03-28,0.11935059999999999
2015-03-29,0.28718212000000004
2015-03-30,2.9157503
2015-03-31,3.2079407
2015-04-01,2.9626758
2015-04-02,3.5626585299999993
2015-04-03,8.7231087
2015-04-04,7.421615170000002
2015-04-05,1.0172269
2015-04-06,4.55264856
2015-04-07,4.500914900000001
2015-04-08,5.3047314
2015-04-09,3.4640578000000004
2015-04-10,10.82226514
2015-04-11,0.03558
2015-04-12,1.1178632999999996
2015-04-13,2.0270120199999995
2015-04-14,3.1085008999999997
2015-04-15,3.332525499999999
2015-04-16,4.554576690000004
2015-04-17,4.756569160000001
2015-04-18,3.6181811
2015-04-19,9.1143975
2015-04-20,3.235044000000001
2015-04-21,4.416590199999999
2015-04-22,1.0275013
2015-04-23,3.597586099999998
2015-04-24,4.15895896
2015-04-25,1.950364
2015-04-26,1.1946663000000002
2015-04-27,11.514431520000002
2015-04-28,2.5448302000000003
2015-04-29,2.9095607400000003
2015-04-30,2.0349944400000006
2015-05-01,3.25685846
2015-05-02,0.0715668
2015-05-03,0.22062620000000002
2015-05-04,8.38211044
2015-05-05,2.9591030000000003
2015-05-06,3.568840500000001
2015-05-07,3.1635830800000004
2015-05-08,3.0342431000000007
2015-05-09,1.846856
2015-05-10,0.30284205
2015-05-11,3.6057456999999995
2015-05-12,10.2642224
2015-05-13,5.130168700000001
2015-05-14,3.5440771399999993
2015-05-15,2.4813634
2015-05-16,12.906779879999993
2015-05-17,0.15263680000000002
2015-05-18,3.43092012
2015-05-19,2.8327771189999997
2015-05-20,3.125737428
2015-05-21,0.011187979
2015-05-22,12.724545285
2015-05-23,4.271979830000002
2015-05-24,1.45449301
2015-05-25,2.777957553
2015-05-26,4.708704946999998
2015-05-27,10.304181509
2015-05-28,3.0243881980000005
2015-05-29,4.047482767000001
2015-05-30,1.6849366369999996
2015-05-31,0.013734099999999999
2015-06-01,8.19521662
2015-06-02,3.353432526000001
2015-06-03,3.250978377000001
2015-06-04,11.966272835000002
2015-06-05,4.032754397
2015-06-06,6.864714917
2015-06-07,0.8552006099999999
